Population,Area,Anti-Social Behaviour,Burglary,Robbery,Vehicle Crimes,Violent Crimes,Shoplifting,Criminal Damage & Arson,Other Theft,Drugs,Other Crimes,Bike Theft,Weapons
114769,"65,131.85",14493,3494,155,2915,8928,3195,4999,4278,1035,548,1058,235
279607,"11,343.86",102690,11183,1199,8314,34233,19904,22032,17746,6143,2579,3700,1198
124021,"21,095.75",19782,2555,235,2328,12494,2049,5496,4944,1008,660,394,213
307858,"3,622.36",51414,11830,8624,20829,39655,8750,11173,21393,7766,2110,2223,982
145628,"19,051.60",36834,6063,548,5144,14163,7728,11039,8012,3709,1250,1053,242
93601,"108,605.10",10764,1577,71,1060,7531,2033,3505,2736,1337,367,291,153
68576,"60,921.76",6232,1366,19,927,2984,811,1907,1716,322,166,85,42
99232,"27,560.03",14811,2197,86,2017,3181,782,2890,2205,549,257,93,78
159430,"19,184.49",21940,10767,887,6348,21087,9610,14762,8271,1530,1356,2284,448
127207,"37,537.51",12912,3312,206,2473,7376,2964,4608,3618,1537,660,579,719
107849,"92,244.28",9490,2197,48,1487,3075,1392,2249,2326,467,257,317,61
167262,"84,631.29",15185,8406,597,4943,14741,4763,8363,7118,1548,1203,1271,300
101561,"96,333.07",9355,1330,41,739,5706,848,2745,2376,768,401,151,87
202403,"37,378.60",26167,5075,335,4403,15904,5399,6962,6902,1367,628,894,234
200488,"8,239.10",44534,4694,284,3255,16559,6549,10946,6987,1872,1275,1288,509
61892,"28,426.69",9696,2934,139,2795,4266,769,2270,2908,404,233,146,96
93455,"27,932.85",7640,3107,100,3051,5455,1856,3509,3993,502,406,285,120
212086,"8,076.17",60724,10999,1931,10524,29292,9999,14224,10399,3597,1559,2304,807
315634,"501,301.83",60280,8344,245,5302,20798,6411,15788,9821,2076,1698,1133,558
132513,"3,902.60",32589,4346,653,3339,20174,9555,9444,7013,3586,1486,3264,453
305237,"7,461.16",84213,15107,3237,12431,43402,19162,20726,20636,8444,2683,4458,1764
125251,"7,895.14",28089,4782,442,5782,13213,4643,6666,5421,1517,725,883,302
56239,"2,352.33",4631,1559,80,1417,2898,1907,1844,1645,250,212,387,75
224633,"14,236.49",55309,12867,1700,11002,27842,6740,15432,10891,2312,1882,851,612
151900,"4,559.58",15834,4810,519,4489,12028,7086,7146,12159,2991,810,8305,474
122149,"161,873.87",23174,1486,40,1064,8531,2081,4880,3051,2224,440,172,145
89476,"16,936.37",22004,3769,145,3011,6917,1948,4335,4390,832,321,282,111
182974,"34,337.82",44465,7784,1273,8534,22251,8937,12821,11551,3138,1699,3854,703
255985,"7,983.36",49774,6084,552,5020,30946,8396,13618,9829,4886,1526,795,643
147454,"6,475.33",24018,4649,127,4332,8992,4830,5952,5271,1024,371,1190,185
204772,"4,041.14",53295,6996,723,7583,23149,12011,13703,9391,3571,1699,5065,765
132790,"518,037.01",17821,1953,49,1265,7727,1286,3928,3311,2994,541,199,168
140266,"14,229.40",47816,6405,605,5570,16141,6227,10493,8073,1815,790,1824,313
45006,"40,441.57",4847,1189,13,927,1947,343,1514,1463,183,83,103,28
155140,"4,039.86",18363,4871,758,5331,14994,7334,7631,8908,2715,986,3470,499
278927,"5,641.14",34040,12818,3708,16710,26059,5032,7889,13316,5806,1462,858,443
134902,"24,489.51",49224,6542,262,4064,10161,6255,10831,6358,1184,592,852,245
84173,"5,424.98",18039,2317,265,2387,9231,2770,3653,2964,944,436,297,201
137874,"12,913.41",19748,3305,197,2908,10997,2372,5634,4558,1818,1022,501,248
234209,"42,412.97",32417,6440,195,5424,24003,5135,11886,7622,3006,1327,378,277
57306,"58,316.11",8038,1261,25,1258,2376,486,1599,1667,217,97,81,19
186986,"5,741.52",18724,8430,832,8640,12126,3315,5477,7467,1835,683,3385,154
51997,"131,867.12",6661,1008,25,631,2239,558,1238,1275,298,174,85,41
211527,"15,808.07",49650,12891,1184,10544,27626,5762,14853,10171,2373,2016,847,563
83290,"16,949.84",7626,2026,106,1759,4171,1314,2486,1714,421,251,178,119
67965,"13,804.82",14114,2799,90,1980,4923,1039,3130,2511,395,200,136,52
90574,"50,943.05",9886,2469,114,1401,5699,1337,3237,2615,659,393,178,155
257070,"28,653.77",73009,12261,824,10459,21836,8564,15747,13049,2587,1611,700,619
100029,"35,111.41",15952,3810,260,3591,8057,2762,4036,3711,935,517,795,209
80450,"7,804.32",11991,2707,108,1848,6234,1305,3129,3502,1249,431,475,152
111121,"40,923.64",7261,2805,135,2259,4207,1539,2258,2896,551,221,611,123
93809,"3,904.46",17030,2108,157,2115,7281,3178,4651,2631,1292,493,740,241
37340,"38,151.51",1353,943,15,739,1332,199,813,892,101,154,65,17
51751,"150,659.41",5857,981,9,551,2254,382,1194,1276,333,163,112,54
233228,"9,719.02",43749,11082,1577,10701,23136,5262,16984,9164,3484,1985,2464,787
307135,"8,556.73",31898,13373,3353,16868,24960,8709,13926,11586,3275,1550,1221,659
108772,"81,654.13",33537,3286,186,1692,10866,4226,6158,4607,2057,611,568,260
114620,"56,436.28",17633,2941,157,1935,10524,3007,4547,4027,943,347,624,127
273670,"15,313.61",44961,10530,822,6838,19194,7949,13053,8037,6327,1408,2153,482
83417,"59,931.19",14595,2419,55,1323,4558,1333,2798,2362,930,325,346,100
114946,"36,919.86",9828,5189,194,4176,7815,2176,5141,3973,702,495,208,93
552197,"36,794.79",186071,27063,3304,25428,41958,21837,33530,27736,5448,2882,3021,1821
305854,"319,730.32",46771,7930,368,5110,21514,5717,9495,9176,2149,1269,1207,414
139593,"3,253.61",16986,5428,839,7180,14269,5145,7320,7086,2042,884,1583,483
206551,"17,828.78",20407,8855,1377,11541,12052,6364,7716,8563,1538,868,1161,413
66698,"14,127.52",4146,2798,139,2963,3288,1217,2508,4280,505,284,256,63
148816,"90,162.77",11347,5293,107,3548,6024,897,3551,4169,762,394,1064,104
94628,"33,812.06",13418,2433,131,2172,4413,1194,2901,2537,715,340,145,104
262202,"49,694.56",28790,7246,371,5366,15504,7343,8766,7715,1424,754,1071,142
83078,"88,649.78",7346,1185,18,897,3360,845,2097,2211,489,214,91,60
88219,"74,238.31",10537,2529,67,1546,4388,1696,2955,2578,817,366,424,139
133848,"94,259.45",16180,3580,126,2689,6204,3518,4147,4194,1414,645,694,221
103642,"153,362.00",11668,1742,52,914,5593,1495,3567,2707,724,323,275,106
124029,"90,770.68",10180,2485,69,1489,6795,1255,3604,3209,794,463,292,124
85137,"63,401.85",9101,2509,82,2275,3632,819,1960,2107,298,226,86,45
134234,"67,853.37",6852,3025,94,2669,5082,2133,3827,4481,1037,404,540,123
108994,"11,295.57",18614,2975,131,2499,6515,1926,4236,3258,590,369,725,88
161214,"95,904.23",16262,3712,185,2466,11455,4116,6122,4500,924,458,331,141
108105,"40,731.52",9574,2573,164,2294,6059,737,2837,2950,1022,710,144,111
147940,"6,441.31",32472,3652,253,2594,14453,4799,10010,5806,2005,1306,854,448
236006,"4,988.93",69273,12662,1385,10607,26016,12070,16656,11417,4074,1891,4519,951
173509,"4,175.60",35947,7066,1054,7533,20677,5921,9160,7709,2362,1082,1953,579
288219,"2,885.41",45668,15465,7804,15384,36800,6798,12165,25903,10356,1610,5996,1016
